PLAYER,Mat,Inns,Runs,Avg,SR,Cent,HalfCent,Fours,Sixes
Virat Kohli,196,188,6021,38.35,130.69,5,40,518,204
Suresh Raina,197,192,5448,33.21,137.09,1,39,498,199
Rohit Sharma,205,200,5431,31.57,130.61,1,40,472,222
Shikhar Dhawan,180,179,5428,35.01,127.65,2,43,620,113
David Warner,146,146,5384,42.39,140.79,4,49,522,199
AB de Villiers,173,159,4974,40.77,152.67,3,39,403,240
Chris Gayle,137,136,4891,40.75,149.20,6,31,397,354
MS Dhoni,208,185,4667,40.23,136.70,0,23,317,217
Robin Uthappa,189,182,4607,27.92,129.99,0,24,454,163
Gautam Gambhir,154,152,4217,31.23,123.88,0,36,491,59
Ajinkya Rahane,151,141,3941,31.52,121.33,2,28,417,76
Dinesh Karthik,200,181,3895,26.14,129.91,0,19,383,108
Shane Watson,145,141,3874,30.99,137.91,4,21,376,190
Ambati Rayudu,163,154,3709,29.20,126.32,1,19,309,137
Manish Pandey,149,138,3369,30.08,121.36,1,19,292,98
Yusuf Pathan,174,154,3204,29.12,142.97,1,13,262,158
Kieron Pollard,169,152,3088,29.69,148.96,0,15,199,202
Brendon McCullum,109,109,2880,27.69,131.74,2,13,293,130
KL Rahul,86,77,2868,45.52,135.60,2,24,252,114
Parthiv Patel,139,137,2848,22.60,120.78,0,13,365,49
Yuvraj Singh,132,126,2750,24.77,129.71,0,13,217,149
Sanju Samson,111,107,2729,28.13,135.03,3,13,206,123
Virender Sehwag,104,104,2728,27.55,155.44,2,16,334,106
Murali Vijay,106,106,2619,25.93,121.87,2,13,247,91
Shaun Marsh,71,69,2477,39.95,132.74,1,20,266,78
Faf du Plessis,88,81,2466,34.25,130.20,0,17,221,80
Jacques Kallis,98,96,2427,28.55,109.22,0,17,255,44
Dwayne Smith,91,89,2385,28.39,135.20,0,17,245,117
Steve Smith,97,88,2375,34.92,128.65,1,11,216,58
Sachin Tendulkar,78,78,2334,34.83,119.81,1,13,295,29
Shreyas Iyer,79,79,2200,31.42,126.07,0,16,189,83
Ravindra Jadeja,188,142,2199,25.56,126.96,0,1,161,77
Suryakumar Yadav,106,91,2178,30.25,135.19,0,12,240,63
Rahul Dravid,89,82,2174,28.23,115.51,0,11,269,28
Rishabh Pant,72,72,2167,34.95,150.90,1,13,195,104
Adam Gilchrist,80,80,2069,27.22,138.39,2,11,239,92
JP Duminy,83,77,2029,39.78,124.02,0,14,126,79
Quinton de Kock,70,70,2006,30.39,131.88,1,14,206,76
Aaron Finch,87,85,2005,25.70,127.70,0,14,204,75
Wriddhiman Saha,126,101,1987,25.15,131.24,1,8,184,65
Michael Hussey,59,58,1977,38.76,122.64,1,15,198,52
David Miller,83,81,1914,33.00,138.39,1,10,133,89
Mayank Agarwal,93,88,1820,21.41,134.71,1,8,176,72
Mahela Jayawardene,80,78,1802,28.60,123.25,1,10,200,39
Jos Buttler,62,61,1798,33.92,148.71,0,11,179,79
Manoj Tiwary,98,85,1695,28.72,116.97,0,7,156,40
Kumar Sangakkara,71,68,1687,25.95,121.19,0,10,195,27
Glenn Maxwell,86,82,1681,23.67,154.07,0,8,135,99
Mandeep Singh,104,91,1659,22.12,124.26,0,6,170,37
Kane Williamson,54,53,1635,39.87,134.01,0,15,137,54
Andre Russell,78,65,1616,29.38,180.76,0,9,113,137
Nitish Rana,64,59,1601,29.10,134.99,0,13,146,79
Naman Ojha,113,94,1554,20.72,118.35,0,6,121,79
Dwayne Bravo,143,105,1510,22.87,129.05,0,5,118,62
Karun Nair,73,66,1480,24.26,128.36,0,10,160,39
Subramaniam Badrinath,95,67,1441,30.65,118.89,0,11,154,28
Brad Hodge,66,63,1400,33.33,125.22,0,6,122,43
Hardik Pandya,85,79,1385,27.70,156.67,0,4,91,93
Saurabh Tiwary,88,69,1379,27.58,120.22,0,7,101,48
Sourav Ganguly,59,56,1349,25.45,106.80,0,7,137,42
Chris Lynn,42,42,1329,34.07,140.63,0,10,132,66
David Hussey,64,61,1322,26.97,122.97,0,5,90,60
Eoin Morgan,70,63,1317,24.38,125.78,0,5,107,60
Ishan Kishan,56,51,1284,27.31,131.96,0,7,103,66
Tillakaratne Dilshan,52,50,1153,26.81,114.49,0,9,140,24
Kedar Jadhav,88,75,1141,22.82,124.15,0,4,99,38
Irfan Pathan,103,82,1139,21.49,120.40,0,1,87,37
Matthew Hayden,32,32,1107,36.90,137.51,0,8,121,44
Lendl Simmons,29,29,1079,39.96,126.64,1,11,109,44
Rahul Tripathi,49,48,1079,25.09,135.55,0,6,106,39
Manan Vohra,53,49,1054,22.42,130.60,0,3,102,41
Krunal Pandya,76,65,1029,23.38,141.15,0,1,99,40
Ross Taylor,55,54,1017,25.42,123.72,0,3,66,46
Shubman Gill,45,42,1008,31.50,126.47,0,7,95,28
Kevin Pietersen,36,36,1001,37.07,134.72,1,4,91,40
Venugopal Rao,65,54,985,22.38,117.82,0,3,77,37
Moises Henriques,59,51,983,28.08,127.16,0,5,87,27
Albie Morkel,91,68,974,24.35,141.98,0,3,61,55
Andrew Symonds,39,36,974,36.07,129.86,1,5,74,41
Jonny Bairstow,25,25,963,43.77,140.37,1,7,91,41
Cameron White,47,45,954,26.50,126.35,0,6,76,36
Prithvi Shaw,42,42,939,22.35,143.14,0,7,112,32
Ben Stokes,43,42,920,25.55,134.50,2,2,79,32
Axar Patel,97,72,913,18.26,127.69,0,0,53,43
Sunil Narine,121,67,896,16.59,164.10,0,4,104,52
Herschelle Gibbs,36,36,886,27.68,109.78,0,6,83,31
Stuart Binny,95,68,880,19.55,128.84,0,0,66,35
Marcus Stoinis,50,45,866,27.93,137.89,0,4,71,35
Harbhajan Singh,163,90,833,15.71,137.91,0,1,79,42
Manvinder Bisla,39,39,798,21.00,113.67,0,4,93,23
Shakib Al Hasan,66,49,784,20.63,124.84,0,2,72,21
Sanath Jayasuriya,30,30,772,27.57,145.11,1,4,85,39
Graeme Smith,29,29,739,28.42,110.62,0,4,94,9
Deepak Hooda,73,54,734,18.35,133.45,0,3,39,37
Angelo Mathews,49,42,724,23.35,125.91,0,1,44,29
Vijay Shankar,44,37,696,27.84,126.77,0,3,44,28
Tirumalasetti Suman,43,40,676,21.12,117.56,0,2,55,26
Abhishek Nayar,60,50,672,17.68,116.46,0,0,55,20
George Bailey,40,37,663,24.55,121.87,0,2,59,19
Devdutt Padikkal,18,18,610,35.88,129.23,1,5,66,14
