PLAYER,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,fourWH,fiveWH
Lasith Malinga,122,122,471.1,"3,366",170,19.80,7.14,16.62,6,1
Amit Mishra,152,152,533.5,"3,922",164,23.91,7.34,19.53,4,1
Piyush Chawla,164,163,541.4,"4,263",156,27.32,7.87,20.83,2,0
Dwayne Bravo,143,140,461,"3,863",156,24.76,8.37,17.73,2,0
Harbhajan Singh,163,160,569.2,"4,030",150,26.86,7.07,22.77,1,1
Ravichandran Ashwin,158,155,553.2,"3,821",139,27.48,6.90,23.88,1,0
Bhuvneshwar Kumar,125,125,464.3,"3,389",139,24.38,7.29,20.05,2,1
Sunil Narine,122,121,472.2,"3,201",128,25.00,6.77,22.14,6,1
Yuzvendra Chahal,103,102,369,"2,845",123,23.13,7.71,18.00,2,0
Umesh Yadav,121,120,420.2,"3,579",119,30.07,8.51,21.19,2,0
Ravindra Jadeja,188,159,466.1,"3,566",116,30.74,7.64,24.11,3,1
Jasprit Bumrah,97,97,367.4,"2,706",113,23.94,7.35,19.52,2,0
Sandeep Sharma,93,93,345.5,"2,681",109,24.59,7.75,19.03,2,0
Ashish Nehra,88,88,318,"2,495",106,23.53,7.84,18.00,1,0
Vinay Kumar,105,104,353.3,"2,966",105,28.24,8.39,20.20,1,0
Zaheer Khan,100,99,366.4,"2,782",102,27.27,7.58,21.56,1,0
Dale Steyn,95,95,362.4,"2,508",97,25.85,6.91,22.43,0,0
Shane Watson,145,105,338.1,"2,682",92,29.15,7.93,22.05,1,0
Mohit Sharma,86,86,292.2,"2,470",92,26.84,8.44,19.06,1,0
Praveen Kumar,119,119,420.4,"3,251",90,36.12,7.72,28.04,0,0
RP Singh,82,82,295.5,"2,338",90,25.97,7.90,19.72,2,0
Pragyan Ojha,92,90,316.3,"2,332",89,26.20,7.36,21.33,0,0
Chris Morris,75,75,263.4,"2,081",89,23.38,7.89,17.77,4,0
Dhawal Kulkarni,91,91,293.5,"2,426",86,28.20,8.25,20.50,1,0
Albie Morkel,91,87,287.1,"2,355",85,27.70,8.20,20.27,1,0
Jaydev Unadkat,83,82,286,"2,500",85,29.41,8.74,20.18,0,2
Rashid Khan,66,66,262,"1,618",80,20.22,6.17,19.65,0,0
Axar Patel,97,96,336.3,"2,456",80,30.70,7.29,25.23,1,0
Irfan Pathan,103,101,340.3,"2,649",80,33.11,7.77,25.53,0,0
Imran Tahir,58,58,215.2,"1,687",80,21.08,7.83,16.15,3,0
Morne Morkel,70,70,271.3,"2,089",77,27.12,7.69,21.15,1,0
Lakshmipathy Balaji,73,73,251.5,"2,028",76,26.68,8.05,19.88,3,1
Munaf Patel,63,63,225.5,"1,698",74,22.94,7.51,18.31,2,1
Ishant Sharma,90,90,321.5,"2,606",72,36.19,8.09,26.81,0,1
Rajat Bhatia,95,91,272.4,"2,020",71,28.45,7.40,23.04,1,0
Mitchell McClenaghan,56,56,212.2,"1,803",71,25.39,8.49,17.94,1,0
Trent Boult,53,53,203.1,"1,721",69,24.94,8.47,17.66,1,0
Ashok Dinda,78,75,251.4,"2,071",68,30.45,8.22,22.20,1,0
Andre Russell,79,72,200.1,"1,825",68,26.83,9.11,17.66,1,1
Mohammad Shami,70,68,243.4,"2,151",66,32.59,8.82,22.15,0,0
Siddharth Trivedi,76,75,251,"1,904",65,29.29,7.58,23.16,1,0
Jacques Kallis,98,89,290.2,"2,293",65,35.27,7.89,26.80,0,0
Kagiso Rabada,38,38,145,"1,202",65,18.49,8.28,13.38,4,0
Muttiah Muralitharan,66,66,254,"1,696",63,26.92,6.67,24.19,0,0
Shakib Al Hasan,66,65,231.2,"1,733",61,28.40,7.49,22.75,0,0
Mitchell Johnson,54,54,205.2,"1,702",61,27.90,8.28,20.19,0,0
Kieron Pollard,169,96,226,"2,002",61,32.81,8.85,22.22,1,0
Karn Sharma,67,66,203.4,"1,610",59,27.28,7.90,20.71,2,0
James Faulkner,60,60,204.3,"1,778",59,30.13,8.69,20.79,0,2
Harshal Patel,52,50,170.2,"1,465",58,25.25,8.60,17.62,0,1
Shane Warne,55,54,199,"1,447",57,25.38,7.27,20.94,1,0
Deepak Chahar,52,52,181.4,"1,381",53,26.05,7.60,20.56,2,0
Siddarth Kaul,47,47,171.1,"1,476",52,28.38,8.62,19.75,1,0
Krunal Pandya,76,74,223.3,"1,624",49,33.14,7.26,27.36,0,0
Shardul Thakur,49,48,164,"1,496",49,30.53,9.12,20.08,0,0
Shahbaz Nadeem,72,70,235.5,"1,784",48,37.16,7.56,29.47,0,0
Shreyas Gopal,47,46,154.1,"1,239",48,25.81,8.03,19.27,1,0
Shadab Jakati,59,57,180.5,"1,450",47,30.85,8.01,23.08,2,0
Jofra Archer,35,35,137.3,981,46,21.32,7.13,17.93,0,0
Anil Kumble,42,42,160.5,"1,058",45,23.51,6.57,21.44,2,1
Ryan Harris,37,37,138.4,"1,047",45,23.26,7.55,18.48,1,0
Sreenath Aravind,38,38,126.4,"1,039",45,23.08,8.20,16.88,2,0
Mohammed Siraj,39,39,134.2,"1,175",44,26.70,8.74,18.31,1,0
Yusuf Pathan,174,82,191.1,"1,415",42,33.69,7.40,27.30,0,0
Varun Aaron,50,48,160.4,"1,429",42,34.02,8.89,22.95,0,0
Hardik Pandya,85,60,144.5,"1,313",42,31.26,9.06,20.69,0,0
Nathan Coulter-Nile,33,32,119.5,925,41,22.56,7.71,17.53,1,0
Rahul Sharma,44,44,154.4,"1,086",40,27.15,7.02,23.20,0,0
Iqbal Abdulla,49,48,153.2,"1,109",40,27.72,7.23,23.00,0,0
Shanthakumaran Sreesanth,44,44,146.4,"1,194",40,29.85,8.14,22.00,0,0
Kuldeep Yadav,45,43,149.2,"1,236",40,30.90,8.27,22.40,1,0
Andrew Tye,27,27,103,872,40,21.80,8.46,15.45,3,1
Rahul Chahar,36,35,127,936,39,24.00,7.37,19.53,1,0
Parvinder Awana,33,33,124.3,"1,029",39,26.38,8.26,19.15,1,0
Moises Henriques,59,57,152.2,"1,263",38,33.23,8.29,24.05,0,0
Doug Bollinger,27,27,96,693,37,18.72,7.21,15.56,1,0
Manpreet Gony,44,44,148,"1,287",37,34.78,8.69,24.00,0,0
Yuvraj Singh,132,73,144.5,"1,077",36,29.91,7.43,24.13,2,0
Pradeep Sangwan,39,39,133.4,"1,175",35,33.57,8.79,22.91,0,0
Mitchell Starc,27,26,96.4,693,34,20.38,7.16,17.05,1,0
Pawan Negi,50,42,119.2,939,34,27.61,7.86,21.05,1,0
Dan Christian,42,42,133.3,"1,065",34,31.32,7.97,23.55,0,0
Kevon Cooper,25,25,96,757,33,22.93,7.88,17.45,1,0
Pat Cummins,35,35,132,"1,090",33,33.03,8.25,24.00,1,0
Murali Kartik,56,55,191.3,"1,388",31,44.77,7.24,37.06,0,0
Khaleel Ahmed,19,19,71.3,612,31,19.74,8.55,13.83,0,0
Thisara Perera,37,36,116.2,"1,016",31,32.77,8.73,22.51,0,0
Chris Woakes,21,21,73.2,658,30,21.93,8.97,14.66,0,0
Azhar Mahmood,23,23,89.3,700,29,24.13,7.82,18.51,0,0
Ajit Agarkar,42,42,130.2,"1,151",29,39.68,8.83,26.96,0,0
Marcus Stoinis,50,40,96.5,913,29,31.48,9.42,20.03,1,0
Daniel Vettori,34,34,129.3,879,28,31.39,6.78,27.75,0,0
Dirk Nannes,29,29,107.4,785,28,28.03,7.29,23.07,0,0
Mustafizur Rahman,29,29,110.4,852,28,30.42,7.69,23.71,0,0
Pravin Tambe,33,33,110,853,28,30.46,7.75,23.57,1,0
Amit Singh,23,23,78.5,620,28,22.14,7.86,16.89,1,0
Ben Stokes,43,37,113.5,974,28,34.78,8.55,24.39,0,0
Tim Southee,40,40,148,"1,293",28,46.17,8.73,31.71,0,0
Washington Sundar,40,39,119,826,27,30.59,6.94,26.44,0,0
MF Maharoof,20,20,70,520,27,19.25,7.42,15.55,0,0
